Time(s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003322893218798244,0.0,0.0,0.0
1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031217570247002923,0.0,0.0,0.0
1.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002921186004421457,0.0,0.0,0.0
1.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027211923432663527,0.0,0.0,0.0
1.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025217882167090583,0.0,0.0,0.0
1.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023229857903193322,0.0,0.0,0.0
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021247972196894926,0.0,0.0,0.0
1.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001927234650362041,0.0,0.0,0.0
1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017303102177581393,0.0,0.0,0.0
1.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015340360471066336,0.0,0.0,0.0
1.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013384242533739975,0.0,0.0,0.0
1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011434869411949995,0.0,0.0,0.0
1.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.492362048040296e-05,0.0,0.0,0.0
1.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.556841279671893e-05,0.0,0.0,0.0
1.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6284278391512295e-05,0.0,0.0,0.0
1.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7072423527653026e-05,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7934053401238558e-05,0.0,0.0,0.0
1.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.129627864907088e-06,0.0,0.0,0.0
1.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.011741722767477e-05,0.0,0.0,0.0
1.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.902811273002148e-05,0.0,0.0,0.0
1.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.786051350726651e-05,0.0,0.0,0.0
1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.661341979332608e-05,0.0,0.0,0.0
1.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.52856329268629e-05,0.0,0.0,0.0
1.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011387595535738201,0.0,0.0,0.0
1.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013238319065124286,0.0,0.0,0.0
1.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001508061434976134,0.0,0.0,0.0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016914361971435716,0.0,0.0,0.0
1.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018739442625385298,0.0,0.0,0.0
1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002055573712087498,0.0,0.0,0.0
1.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022363126381766039,0.0,0.0,0.0
1.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024161491447077885,0.0,0.0,0.0
1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025950713471543886,0.0,0.0,0.0
1.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027730673726161,0.0,0.0,0.0
1.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029501253598733057,0.0,0.0,0.0
1.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003126233459440739,0.0,0.0,0.0
1.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033013798336206223,0.0,0.0,0.0
1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034755526565549764,0.0,0.0,0.0
1.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003648740114277475,0.0,0.0,0.0
1.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003820930404764692,0.0,0.0,0.0
1.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003992111737986675,0.0,0.0,0.0
